s,a,t,b
0,65,53,50
0,65,58,50
0,65,58,50
0,65,58,50
0,62,58,50
0,62,58,50
0,67,58,52
0,67,58,52
0,67,55,52
0,67,55,52
0,67,55,52
0,67,60,52
0,67,60,52
0,64,60,52
0,64,60,52
0,64,60,52
0,69,60,53
0,69,60,53
0,69,57,53
0,69,57,53
0,69,62,53
0,69,62,53
0,69,62,53
0,65,62,53
0,65,62,53
0,70,55,53
0,70,55,53
0,70,55,53
0,70,55,50
0,70,55,50
0,70,60,52
0,70,60,52
0,67,60,52
0,67,60,52
0,67,60,52
0,69,53,52
0,69,53,52
0,69,53,49
0,69,53,49
0,69,53,49
0,69,58,50
0,69,58,50
0,65,58,50
0,65,58,50
0,67,52,50
0,67,52,50
0,67,52,50
0,67,52,47
0,67,52,47
0,67,57,49
0,67,57,49
0,67,57,49
0,67,57,45
0,67,57,45
0,65,57,50
0,65,57,50
0,62,57,50
0,62,57,50
0,62,57,50
0,69,52,50
0,69,52,50
0,69,52,48
0,69,52,48
0,69,52,48
0,69,57,47
0,69,57,47
0,69,57,45
0,69,57,45
0,74,57,47
0,74,57,47
0,74,57,47
0,74,56,47
0,74,56,47
0,74,54,47
0,74,54,47
0,74,54,47
0,74,56,47
0,74,56,47
76,74,57,45
76,74,57,45
76,73,57,45
76,73,57,45
76,73,57,45
76,71,57,0
76,71,57,0
76,73,55,0
76,73,55,0
76,73,55,0
81,74,53,0
81,74,53,0
81,69,52,0
81,69,52,0
81,76,50,0
81,76,50,0
81,76,50,0
81,76,49,0
81,76,49,0
77,76,50,0
77,76,50,0
77,76,50,0
77,69,50,0
77,69,50,0
77,74,53,0
77,74,53,0
77,74,50,0
77,74,50,0
77,74,50,0
74,0,58,0
74,0,58,0
74,65,58,0
74,65,58,0
74,65,58,0
74,70,55,0
74,70,55,0
74,70,52,0
74,70,52,0
73,70,57,0
73,70,57,0
73,70,57,0
73,64,57,0
73,64,57,0
73,69,57,0
73,69,57,0
73,69,57,0
73,69,65,0
73,69,65,0
74,69,59,0
74,69,59,0
74,67,59,0
74,67,59,0
74,67,59,0
76,65,61,0
76,65,61,0
76,64,61,0
76,64,61,0
76,64,61,0
77,62,62,0
77,62,62,0
77,69,62,0
77,69,62,0
77,74,59,0
77,74,59,0
77,74,59,0
77,71,55,0
77,71,55,0
77,67,60,0
77,67,60,0
77,67,60,0
79,64,60,0
79,64,60,0
77,72,57,0
77,72,57,0
76,72,53,0
76,72,53,0
76,72,53,0
74,72,58,0
74,72,58,0
74,72,62,0
74,72,62,0
74,72,62,0
74,70,67,0
74,70,67,0
76,70,67,0
76,70,67,0
73,69,67,0
73,69,67,0
73,69,67,0
73,69,64,0
73,69,64,0
74,69,65,0
74,69,65,0
74,69,65,0
77,69,65,0
77,69,65,0
70,67,65,0
70,67,65,0
70,67,65,0
70,67,65,0
70,67,65,0
70,67,64,0
70,67,64,0
70,65,62,0
70,65,62,0
70,65,62,0
70,64,61,0
70,64,61,0
70,64,61,0
70,64,61,0
69,64,61,0
69,64,61,0
69,64,61,0
67,64,61,0
67,64,61,0
65,64,62,0
65,64,62,0
65,64,62,0
65,64,60,0
65,64,60,0
65,62,58,0
65,62,58,0
65,61,57,0
65,61,57,0
65,61,57,0
70,62,55,0
70,62,55,0
70,62,57,0
70,62,57,0
70,62,57,0
70,67,58,0
70,67,58,0
70,67,60,0
70,67,60,0
69,67,62,50
69,67,62,50
69,67,62,50
69,67,57,50
69,67,57,50
69,67,62,50
69,67,62,50
69,67,62,50
69,65,62,50
69,65,62,50
69,64,62,57
69,64,62,57
69,64,59,57
69,64,59,57
69,64,59,57
76,64,61,57
76,64,61,57
76,64,61,57
76,64,61,57
76,64,61,57
76,69,61,53
76,69,61,53
73,69,64,53
73,69,64,53
74,69,57,53
74,69,57,53
74,69,57,53
76,69,61,53
76,69,61,53
77,69,62,50
77,69,62,50
77,69,62,50
74,69,62,50
74,69,62,50
79,67,58,50
79,67,58,50
79,70,55,50
79,70,55,50
79,70,55,50
79,69,52,49
79,69,52,49
76,69,52,49
76,69,52,49
76,69,52,49
81,69,52,49
81,69,52,49
79,69,52,49
79,69,52,49
77,69,53,50
77,69,53,50
77,69,53,50
76,67,53,50
76,67,53,50
74,65,55,52
74,65,55,52
74,65,55,52
73,64,55,52
73,64,55,52
74,62,57,53
74,62,57,53
72,62,57,53
72,62,57,53
72,62,57,53
70,62,57,53
70,62,57,53
69,62,57,53
69,62,57,53
69,62,57,53
67,62,59,53
67,62,59,53
67,62,59,55
67,62,59,55
67,64,61,53
67,64,61,53
67,64,61,53
67,64,61,52
67,64,61,52
67,57,62,50
67,57,62,50
67,57,62,50
64,57,62,50
64,57,62,50
65,0,0,50
65,0,0,50
62,0,0,50
62,0,0,50
62,0,0,50
69,0,0,50
69,0,0,50
69,0,0,51
69,0,0,51
69,0,0,51
69,63,54,50
69,63,54,50
69,63,54,48
69,63,54,48
69,62,55,46
69,62,55,46
69,62,55,46
66,62,57,46
66,62,57,46
67,62,58,46
67,62,58,46
67,62,58,46
70,62,58,46
70,62,58,46
72,0,0,46
72,0,0,46
72,0,0,48
72,0,0,48
72,0,0,48
72,66,60,46
72,66,60,46
72,66,60,45
72,66,60,45
72,66,60,45
72,67,62,43
72,67,62,43
69,66,62,43
69,66,62,43
70,67,62,43
70,67,62,43
70,67,62,43
74,67,62,43
74,67,62,43
75,0,0,43
75,0,0,43
75,0,0,43
75,0,55,43
75,0,55,43
74,70,55,43
74,70,55,43
74,70,53,43
74,70,53,43
74,70,53,43
73,70,52,45
73,70,52,45
73,69,52,45
73,69,52,45
73,69,52,45
